식당명,지역명,주차가능,와이파이제공,놀이방,다국어메뉴판,화장실,해시태그,소재지도로명,업태명,주된음식,영업장면적(평),행정동명,소재지전화번호,제로식당
순천식당,양천구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 양천구 지양로 26, 1층 102호 (신월동)",한식,해물찜,9.6,신월7동,220654465, 
소담,동작구,N,N,N,N,N,모범음식점,"서울특별시 동작구 흑석로 102, (흑석동,중앙대학교병원 지하1층 B105호)",한식,갈비탕,50.6,흑석동,028221456, 
송림식당,광진구,Y,N,N,Y,N,모범음식점,"서울특별시 광진구 자양번영로 77, (자양동,,137,138,139,141)",한식,불고기,158.8,자양제3동,024575473, 
은성,용산구,N,N,N,Y,N,"모범음식점,블루리본","서울특별시 용산구 한강대로84길 11-16, (남영동)",한식,"부대찌개,스테이크",25.1,남영동,027972855, 
태림산채정식,도봉구,Y,Y,N,N,N,"모범음식점,안심식당","서울특별시 도봉구 노해로60길 32, (쌍문동)",한식,산채정식,38.0,쌍문제3동,029985468, 
호아빈,중구,N,N,N,N,N,모범음식점,"서울특별시 중구 서소문로 139, (서소문동,(1층))",양식,베트남쌀국수,18.8,소공동,027570025, 
해태식당,관악구,Y,N,N,Y,N,"모범음식점,블루리본,안심식당","서울특별시 관악구 청룡1길 33, 1층 (봉천동)",한식,-,23.0,청룡동,028855398, 
금홍,용산구,N,N,N,N,N,-,"서울특별시 용산구 서빙고로 17, 1층 32호 (한강로3가)",중식,유린기,21.6,한강로동,027960995, 
골목냉면,성동구,N,N,N,N,N,모범음식점,"서울특별시 성동구 독서당로 295-7, (금호동3가)",기타,"냉면, 떡만두",26.3,금호2.3가동,0222352540, 
남서울민물장어,강남구,N,N,N,Y,N,"모범음식점,블루리본","서울특별시 강남구 봉은사로 137, (논현동)",한식,장어구이,37.8,논현1동,025441010, 
뚱뚱이 할머니집,중구,N,N,N,N,N,포장가능,"서울특별시 중구 장충단로 174-1, (장충동1가,(지상1층,지상2층))",한식,족발,12.0,장충동,0222792714, 
바다식당,용산구,N,N,N,N,N,"모범음식점,블루리본","서울특별시 용산구 이태원로 245, 2층 (한남동)",한식,존슨탕,78.0,한남동,50713761317, 
열해,용산구,N,N,N,N,N,"모범음식점,씨트립","서울특별시 용산구 이촌로 248, (이촌동,(한강맨션 21동 201호))",일식,모듬생선회,27.5,이촌제1동,027931188, 
토담골,강남구,N,N,N,Y,N,모범음식점,"서울특별시 강남구 봉은사로37길 5, 태양빌딩 지하1층 (논현동)",한식,한정식,128.6,논현1동,025485121, 
우리강산,송파구,Y,Y,N,N,Y,모범음식점,"서울특별시 송파구 위례성대로12길 6, 지상1층 (방이동)",일식,등심,14.6,방이1동,024157131, 
광양불고기,양천구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 양천구 남부순환로 531, 1층 (신월동)",한식,불고기,70.0,신월4동,226979999, 
미우미우,송파구,Y,N,N,N,N,"모범음식점,트립어드바이저","서울특별시 송파구 양재대로71길 2-27, (방이동,지상2층)",한식,소고기구이,56.8,방이1동,024252581, 
대한민국,강남구,Y,Y,N,N,Y,모범음식점,"서울특별시 강남구 영동대로85길 17-5, 지하1,지상1~3층 (대치동)",한식,갈비탕,173.5,대치1동,025616320, 
연화산,강남구,N,N,N,N,N,모범음식점,"서울특별시 강남구 언주로93길 31, (역삼동,지상2층)",중식,중식,65.8,역삼1동,025585375, 
전자방,성동구,N,N,N,N,N,모범음식점,"서울특별시 성동구 성수일로12길 23, (성수동2가)",한식,탕수육,13.9,성수2가제1동,024613898, 
금강산,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 올림픽로43길 88, (풍납동)",한식,우거지,184.5,풍납2동,230106191, 
교담집,양천구,Y,Y,N,N,Y,"모범음식점,안심식당","서울특별시 양천구 목동동로 260, 2층 201호 (목동, 양지타운)",한식,소고기,40.4,목1동,226468592, 
신기소,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 송파대로 167, A동 G147호 (문정동, 문정역테라타워)",일식,"돈까스,우동,소바",26.0,문정1동,220543991, 
돈에뜰,용산구,N,N,N,Y,N,모범음식점,"서울특별시 용산구 한강대로40가길 39, 지상1,2층 (한강로2가)",한식,삼겹살,50.1,한강로동,027935487, 
화로구이,성동구,Y,Y,N,Y,Y,포장가능,"서울특별시 성동구 마장로 315, (마장동)",한식,"돼지갈비,소갈비",119.5,마장동,222998592, 
명태랑족발이랑,관악구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 관악구 신원로 6, 1층 (신림동)",한식,-,10.3,신원동,-, 
천외천,동작구,Y,N,N,N,N,"모범음식점,씨트립","서울특별시 동작구 만양로 19, (노량진동,신동아리버파크상가 217-220호)",중식,짜장면,95.6,노량진제1동,267457000, 
낙성곱창,관악구,Y,N,N,Y,N,"모범음식점,안심식당","서울특별시 관악구 봉천로 495-3, (봉천동)",한식,-,16.3,행운동,028721118, 
신우정,노원구,N,N,N,Y,N,모범음식점,"서울특별시 노원구 공릉로46길 9, (공릉동,1층)",한식,버섯전골,22.7,공릉2동,029743346, 
함흥곰보냉면,종로구,Y,N,N,N,Y,"모범음식점,안심식당,트립어드바이저","서울특별시 종로구 창경궁로 109, 401,405호 (인의동)",한식,냉면,101.3,종로1.2.3.4가동,222732833, 
아리차이,관악구,Y,N,N,N,N,"모범음식점,안심식당","서울특별시 관악구 신림동길 4, (신림동,지하1층,지상1,2층)",중식,-,145.7,신림동,028771272, 
대평갈비,종로구,Y,Y,N,N,Y,"모범음식점,안심식당","서울특별시 종로구 평창문화로 83, 지상2,3층 (평창동)",한식,한방갈비탕,169.0,평창동,023955288, 
사리원,강남구,Y,N,N,Y,N,모범음식점,"서울특별시 강남구 남부순환로 2712, (도곡동)",한식,불고기,96.6,도곡2동,205732202, 
군산오징어,송파구,Y,N,N,N,Y,"모범음식점,블루리본,포장가능","서울특별시 송파구 삼학사로 101, (삼전동, 지상 1,2,3층)",한식,오징어불고기,158.4,삼전동,024132046, 
일식호림,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 석촌호수로 176, 2층 (삼전동)",일식,회,244.0,삼전동,024153413, 
남한강다슬기해장국,송파구,Y,N,N,N,N,모범음식점,"서울특별시 송파구 오금로 144, 지상1층 (송파동)",한식,올갱이해장국,16.1,송파1동,024172786, 
석촌옛터,송파구,Y,N,N,N,N,모범음식점,"서울특별시 송파구 백제고분로41길 42, (송파동,1층)",한식,돼지갈비,84.1,송파1동,024210043, 
파크루안,강남구,Y,N,N,N,N,"모범음식점,블루리본,포장가능","서울특별시 강남구 논현로 430, (역삼동)",중식,중국요리,154.0,역삼2동,025625566, 
원진노기순청국장,성북구,N,N,N,N,N,모범음식점,"서울특별시 성북구 안암로9가길 94, 1층 (안암동5가)",한식,청국장,39.3,안암동,029255733, 
댓잎갈비,용산구,N,N,N,N,N,"모범음식점,블루리본,씨트립,트립어드바이저","서울특별시 용산구 보광로 1, (보광동)",한식,댓잎갈비,108.8,보광동,027963355, 
안뜨레,강남구,Y,Y,N,Y,Y,"모범음식점,트립어드바이저","서울특별시 강남구 봉은사로 130, (역삼동)",양식,-,85.1,역삼1동,025316454, 
백제추어탕,강동구,N,N,N,Y,N,"모범음식점,안심식당,트립어드바이저","서울특별시 강동구 양재대로 1406, (둔촌동)",한식,추어탕,60.6,둔촌제2동,024713888, 
유향소,성동구,Y,N,N,N,N,모범음식점,"서울특별시 성동구 광나루로 248-1, (성수동2가)",중식,탕수육,40.6,성수2가제3동,024680110, 
서울집,금천구,N,N,N,Y,N,모범음식점,"서울특별시 금천구 시흥대로122길 24, 지상1층 (독산동)",한식,식육,27.4,독산제4동,-, 
용산양꼬치,용산구,Y,N,N,N,Y,모범음식점,"서울특별시 용산구 백범로99길 60, 1층 (한강로1가)",한식,양다리통구이,40.4,한강로동,027499088, 
콩심 수유점,강북구,Y,N,N,N,N,"모범음식점,포장가능","서울특별시 강북구 한천로 1066, (수유동)",한식,콩나물국밥,17.4,수유제3동,029051066, 
반값소,도봉구,Y,N,N,N,Y,"모범음식점,안심식당,포장가능","서울특별시 도봉구 마들로 664-5, 101,102호 (도봉동)",한식,식육구이,34.6,도봉제2동,0234931297, 
춘천왕닭갈비,노원구,N,N,N,N,N,모범음식점,"서울특별시 노원구 동일로203가길 29, 2층 212A,213,214호 (중계동, 브라운스톤중계)",한식,닭갈비,28.5,중계2.3동,029754481, 
오선채,서초구,Y,N,N,N,Y,"모범음식점,트립어드바이저","서울특별시 서초구 남부순환로 2634-8, 지하1층 (양재동)",한식,한정식,169.4,양재제1동,025789411, 
정성한줄,마포구,Y,N,N,N,Y,"모범음식점,안심식당","서울특별시 마포구 마포대로 195, 상가4동 108호 (아현동, 마포 래미안 푸르지오)",분식,분식,13.6,아현동,-, 
대갈집,광진구,N,N,N,N,N,모범음식점,"서울특별시 광진구 능동로 49, (자양동)",한식,갈비,28.2,자양제4동,024632702, 
갈비명가,구로구,Y,Y,N,N,Y,모범음식점,"서울특별시 구로구 가마산로 260, (구로동)",한식,갈비탕,128.0,구로제4동,028537002, 
샛집남원추어탕,동대문구,N,N,N,N,N,모범음식점,"서울특별시 동대문구 답십리로 310, 1층 (장안동)",한식,추어탕,42.9,장안제1동,222430042, 
조박사아구찜,노원구,Y,N,N,N,N,모범음식점,"서울특별시 노원구 노해로 490, 길빌딩 지하층 3호 (상계동)",한식,아구찜,23.4,상계6.7동,-, 
청호,관악구,N,Y,N,Y,N,"모범음식점,안심식당","서울특별시 관악구 서림길 24, 1층 (신림동)",중식,-,10.2,서림동,028782882, 
열빈,영등포구,Y,Y,N,Y,Y,"모범음식점,트립어드바이저","서울특별시 영등포구 국제금융로 78, 동 (여의도동,홍우빌딩)",중식,중화요리,193.3,여의동,027833838, 
안동장,중구,N,N,N,N,N,"모범음식점,블루리본,트립어드바이저","서울특별시 중구 을지로 124, (을지로3가)",중식,자장면,143.2,을지로동,0222663814, 
오장동흥남집,중구,Y,N,N,N,N,"모범음식점,블루리본","서울특별시 중구 마른내로 114, (오장동, 지하1층~지상3층)",한식,물냉면,155.7,광희동,222660735, 
불이아,마포구,Y,N,N,N,N,"모범음식점,블루리본,안심식당,트립어드바이저","서울특별시 마포구 동교로 182-6, (동교동, 1층)",중식,샤브샤브,40.1,서교동,023356889, 
제일콩집,노원구,Y,Y,N,N,Y,"모범음식점,블루리본","서울특별시 노원구 동일로174길 37-8, 제일빌딩 1,2층 (공릉동)",한식,두부찌개,64.9,공릉1동,029727016, 
하동관,중구,Y,N,N,N,N,"모범음식점,미쉐린 가이드,블루리본,트립어드바이저,포장가능","서울특별시 중구 명동9길 12, (명동1가)",한식,"쇠고기,돼지고기",53.0,명동,027765656, 
우래옥,중구,N,N,N,N,Y,"모범음식점,미쉐린 가이드,블루리본","서울특별시 중구 창경궁로 62-29, (주교동)",한식,불고기,238.8,을지로동,222650151, 
대도식당,성동구,Y,N,N,N,Y,트립어드바이저,"서울특별시 성동구 무학로12길 3, (홍익동, 431)",한식,한우등심,73.7,왕십리도선동,222991333, 
참누렁소,노원구,Y,N,N,N,N,모범음식점,"서울특별시 노원구 공릉로63길 13, 1층 (하계동)",한식,갈비탕,72.6,하계1동,029796400, 
진주회관,중구,Y,N,N,N,N,"모범음식점,블루리본","서울특별시 중구 세종대로11길 26, (서소문동)",한식,콩국수,73.8,소공동,027535388, 
함평면옥,서대문구,N,N,N,N,N,모범음식점,"서울특별시 서대문구 성산로 533, 하늬솔빌딩 2층 (대신동)",한식,갈비탕,96.5,신촌동,-, 
이즈미,강남구,Y,N,N,Y,Y,"모범음식점,포장가능","서울특별시 강남구 언주로 857, 지상1층 (신사동)",한식,회,99.6,신사동,025110107, 
이즈미,강남구,Y,N,N,Y,Y,"모범음식점,포장가능","서울특별시 강남구 압구정로 165, (압구정동,현대백화점 05-7)",한식,생선회,103.0,신사동,234165811, 
한일관,강남구,N,N,N,N,N,"모범음식점,미쉐린 가이드,블루리본,트립어드바이저","서울특별시 강남구 압구정로38길 14, (신사동,지하1,지상1~5층)",한식,"한정식,불고기,갈비탕,비빔밥,냉면",621.6,압구정동,027335333, 
포폴라리타,서초구,Y,Y,N,Y,Y,"모범음식점,블루리본,트립어드바이저","서울특별시 서초구 사평대로22길 41, 1층 (반포동)",양식,스파게티,24.1,반포제1동,025932340, 
진수사,강남구,Y,Y,N,Y,Y,모범음식점,"서울특별시 강남구 테헤란로37길 13-7, (역삼동)",일식,회,34.5,역삼1동,205613544, 
백제갈비,동작구,Y,Y,N,N,Y,"모범음식점,안심식당","서울특별시 동작구 사당로 231, (사당동)",한식,갈비,63.7,사당제3동,025370660, 
대가식당,광진구,Y,N,N,Y,N,모범음식점,"서울특별시 광진구 광나루로 596, (구의동)",한식,등심,56.8,구의제3동,024557866, 
한근더한근,성북구,N,N,N,Y,N,모범음식점,"서울특별시 성북구 한천로 605, 101호 (장위동, 태산빌딩)",한식,돼지갈비,78.0,장위제3동,029188999, 
정 참치,성동구,N,N,N,Y,Y,모범음식점,"서울특별시 성동구 성수일로8길 39, 2층 202호 (성수동2가)",주점,초밥,27.0,성수2가제1동,024671071, 
명태어장,양천구,Y,N,N,N,N,모범음식점,"서울특별시 양천구 중앙로 311, 지하 1층 101호 (신월동, 리슈리안)",한식,명태조림,42.0,신월2동,220658835, 
대가원,강북구,Y,Y,N,N,N,"모범음식점,포장가능","서울특별시 강북구 한천로 1064, (수유동)",한식,생등심,37.2,수유제3동,029990444, 
현가츠,중구,N,Y,N,N,Y,모범음식점,"서울특별시 중구 명동8나길 45, (충무로1가, 지하1층)",한식,양식,24.3,회현동,0237890673, 
